filename,words
61.jpg,"Maríane maya misagwei malau ɵyeeg kuin gɵn chib kenamarmɵnrrab,"
249.jpg,srɵig kurrab arrubig David kɵb uraskatiibe catorce gɵbig kɵn.
290.jpg,"tru birau purɵ wamindig ciudamerai utu ñibe chigucha gɵmɵzhig lataig kɵnrrab gɵmɵ,"
84.jpg,Herodes tru birau rey gɵb uras.
149.jpg,"Inchen tru Josébe Maríai keg kɵben,"
134.jpg,"nunelaimba mɵskain gɵbig kɵn,"
5.jpg,nui nunelaimba mɵskain gɵbig kɵn.
101.jpg,"tru Davidweinukkurrimba,"
27.jpg,Jorambe Uzíaswei mɵskain gɵbig kɵn.
143.jpg,Sadocbe Aquimwei mɵskain gɵbig kɵn.
116.jpg,"Boozbe Obedwei mɵskain gɵben,"
214.jpg,nui usrimbe Rut gɵbig kɵn.
198.jpg,"Kaguende ñuinukkurrimbe misagwan ashib karunrrabig kan webattrun cha,"
148.jpg,Jacobpe Joséwei mɵskain gɵbig kɵn.
130.jpg,Ezequíasbe Manaséswei mɵskain gɵben;
109.jpg,Faresbe Esromwei mɵskain gɵben;
255.jpg,"Inchen José tru nui keg kɵnrrabiibe sɵlgandɵ tabig kua,"
254.jpg,Josébe kasharanrrab permɵwatɵ Maríabe Espíritu Santogurri kwanrriig kenamisrɵptinchibig kɵn.
228.jpg,Manasésbe Amonwei mɵskain gɵben;
176.jpg,"Incha José tru piabyugurri kiagasrabe,"
76.jpg,(Tru Emanuel munchibe Tiusbe namba basran daig).
97.jpg,"tru birau purɵ wamindig ciudamerai utu ñibe chigucha gɵmɵzhig lataig kɵnrrab gɵmɵ,"
260.jpg,"ñi Davidwei misagugurri arrubig,"
45.jpg,Inchen Aquimbe Eliudwei mɵskaingue.
155.jpg,srɵig misaamera kurrab arrig kɵbig kɵn.
199.jpg,"Ibe Jesucristoi merrabsrɵ misaamerai munchimera gɵn,"
169.jpg,"Nɵbe ɵyeeg wamig kɵnrrun chibig kɵn,"
132.jpg,Amonbe Josíaswei mɵskain gɵbig kɵn.
136.jpg,"Ɵyeeg chab srua amben,"
18.jpg,"Obedbe Isaíwei mɵskain gɵben,"
85.jpg,trenchib payibelɵ gɵn: ¿Judíosmerai tru rey kallabiibe chu tsuh? cha.
195.jpg,"ñi Belén pueblounɵbe,"
162.jpg,"Nɵbe treeg martrab chab isubguen inchen,"
203.jpg,nui nunelaimba mɵskain gɵbig kɵn.
34.jpg,"Inchen Josíasbe Jeconíasweimba,"
73.jpg,kan unɵ tɵgagɵnrrun.
266.jpg,"Kan srusrɵ mu mɵɵbagucha kimíig kwanrriig kɵrrɵmisra,"
37.jpg,"Ɵyeeg chab srua amben,"
206.jpg,tru uregwei usrimbe Tamar gɵbig kɵn.
115.jpg,nui usrimbe Rahab gɵbig kɵn.
50.jpg,"Inchen tru Josébe Maríai keg kɵben,"
285.jpg,"tru Moisés pɵrigwan kusrenanɵbelanba wama,"
7.jpg,"Zaraimba mɵskain gɵben,"
216.jpg,"Inchen rey Davidba,"
79.jpg,Maríane nui srain gɵnrrai kɵrrɵmarɵbig kɵn.
21.jpg,Uríaswei srain gɵbiibabe Salomónwɵi mɵskalɵ gɵbig kɵn.
94.jpg,Inchen nɵmbe trenchibelɵ gɵn: Judea birau Belén cha.
160.jpg,"Maríane maya misagwei malau ɵyeeg kuin gɵn chib kenamarmɵnrrab,"
245.jpg,"Inchen tru Josébe Maríai keg kɵben,"
82.jpg,Incha Josébe unane Jesús munchi basrɵbig kɵn.
17.jpg,nui usrimbe Rut gɵbig kɵn.
140.jpg,Abiudbe Eliaquimwei mɵskain gɵben;
39.jpg,Salatielbe Zorobabelwei mɵskain gɵben;
32.jpg,Manasésbe Amonwei mɵskain gɵben;
207.jpg,Faresbe Esromwei mɵskain gɵben;
253.jpg,"Jesucristo kallaibe ɵyeeg kuig kɵn: María nui usrimbe Joséba kasharanrrab misra uñen,"
36.jpg,tru israelitasmeran Babiloniamay merrarrawa srua ambub uras.
124.jpg,Inchen Asabe Josafatwei mɵskain gɵben;
9.jpg,Faresbe Esromwei mɵskain gɵben;
60.jpg,"Inchen José tru nui keg kɵnrrabiibe sɵlgandɵ tabig kua,"
264.jpg,"Nɵbe ɵyeeg wamig kɵnrrun chibig kɵn,"
257.jpg,nuinetɵ nilɵtɵ tarɵmisrɵptinchab isubig kɵn.
240.jpg,Sadocbe Aquimwei mɵskain gɵbig kɵn.
167.jpg,"Nɵbe kan mɵgunɵ tɵgagɵben,"
62.jpg,nuinetɵ nilɵtɵ tarɵmisrɵptinchab isubig kɵn.
212.jpg,"Salmónbe Boozwei mɵskain gɵben,"
147.jpg,Matánbe Jacobwei mɵskain gɵben;
218.jpg,Salomónbe Roboamwei mɵskain gɵben;
66.jpg,Marían ñui srain gɵnrrai utamigwan kɵrig kui inchimɵta cha.
129.jpg,Acazbe Ezequíaswei mɵskain gɵbig kɵn.
238.jpg,Eliaquimbe Azorwei mɵskain gɵbig kɵn.
165.jpg,Marían ñui srain gɵnrrai utamigwan kɵrig kui inchimɵta cha.
274.jpg,"Incha Josébe Marían nui nusrkawan tɵgagɵmnegatig keeba,"
194.jpg,"Judea birau,"
287.jpg,Inchen nɵmbe trenchibelɵ gɵn: Judea birau Belén cha.
166.jpg,Kaguende tru unɵ tɵgagɵmibe Espíritu Santoin gɵn cha.
81.jpg,sraimba lataig nɵmui asrtɵga chi marmuig kɵn.
121.jpg,Salomónbe Roboamwei mɵskain gɵben;
139.jpg,Zorobabelbe Abiudwei mɵskain gɵben;
14.jpg,"Salmónbe Boozwei mɵskain gɵben,"
246.jpg,"tru Maríagurri Jesús kallaig kɵbig kɵn,"
83.jpg,"Jesúsbe Judea birau Belén puebloyu kallabig kɵn,"
234.jpg,Jeconíasbe Salatielwei mɵskain gɵben;
75.jpg,trenchibig kɵn.
204.jpg,"Judábe Faresweimba,"
256.jpg,"Maríane maya misagwei malau ɵyeeg kuin gɵn chib kenamarmɵnrrab,"
226.jpg,Acazbe Ezequíaswei mɵskain gɵbig kɵn.
161.jpg,nuinetɵ nilɵtɵ tarɵmisrɵptinchab isubig kɵn.
56.jpg,srɵig misaamera kurrab arrig kɵbig kɵn.
197.jpg,purɵ nuig kɵn cha.
270.jpg,(Tru Emanuel munchibe Tiusbe namba basran daig).
258.jpg,"Nɵbe treeg martrab chab isubguen inchen,"
49.jpg,Jacobpe Joséwei mɵskain gɵbig kɵn.
252.jpg,Incha tru israelitasmeran Babiloniamay srua ambub uraskurri tru Cristo kallamnegatiibe misaamera katɵgan catorce treetɵwei kurrab arrig kɵn.
187.jpg,"Inchen rey Herodesbe trendaigwan mɵrabe,"
157.jpg,"Jesucristo kallaibe ɵyeeg kuig kɵn: María nui usrimbe Joséba kasharanrrab misra uñen,"
235.jpg,Salatielbe Zorobabelwei mɵskain gɵben;
181.jpg,Incha Josébe unane Jesús munchi basrɵbig kɵn.
23.jpg,Roboambe Abíaswei mɵskain gɵben;
117.jpg,"Obedbe Isaíwei mɵskain gɵben,"
279.jpg,"Kaguende nambe nui estrellan webarri asha,"
268.jpg,"Truibe Emanuel cha wamig kɵnrrun cha,"
22.jpg,Salomónbe Roboamwei mɵskain gɵben;
244.jpg,Matánbe Jacobwei mɵskain gɵben;
280.jpg,kɵriibala nune tabig waminchab amrruer cha.
189.jpg,Inchen katɵ Jerusalén misaamerangucha treetɵweim bubig kɵn.
52.jpg,tru Cristo taig.
4.jpg,"Jacobpe Judába,"
154.jpg,"Inchen David kɵb uraskurri tru israelitasmeran Babiloniamay merrarrawa srua ambub uraskatig katɵgan catorce treetɵwei katɵle srɵig,"
58.jpg,"Jesucristo kallaibe ɵyeeg kuig kɵn: María nui usrimbe Joséba kasharanrrab misra uñen,"
265.jpg,"Kerrigu ɵyeeg pureppe,"
211.jpg,Inchen Naasónbe Salmónwei mɵskaingue.
289.jpg,"ñi Belén pueblounɵbe,"
104.jpg,"Jacobpe Judába,"
247.jpg,tru Cristo taig.
267.jpg,kan unɵ tɵgagɵnrrun.
159.jpg,"Inchen José tru nui keg kɵnrrabiibe sɵlgandɵ tabig kua,"
174.jpg,trenchibig kɵn.
248.jpg,"Inchawei Abraham kɵb uraskurri merrabsrɵ kɵlli misaamerai ureemera katɵle srɵig,"
152.jpg,"Inchawei Abraham kɵb uraskurri merrabsrɵ kɵlli misaamerai ureemera katɵle srɵig,"
28.jpg,Uzíasbe Jotamwei mɵskain gɵben;
16.jpg,"Boozbe Obedwei mɵskain gɵben,"
35.jpg,"nunelaimba mɵskain gɵbig kɵn,"
261.jpg,Marían ñui srain gɵnrrai utamigwan kɵrig kui inchimɵta cha.
284.jpg,"Inchen reybe sacerdotesmeran karubelanba,"
41.jpg,Abiudbe Eliaquimwei mɵskain gɵben;
219.jpg,Roboambe Abíaswei mɵskain gɵben;
221.jpg,Inchen Asabe Josafatwei mɵskain gɵben;
213.jpg,nui usrimbe Rahab gɵbig kɵn.
233.jpg,"Ɵyeeg chab srua amben,"
24.jpg,Abíasbe Asaiwei mɵskain gɵbig kɵn.
192.jpg,payibig kɵn: ¿Cristobe chu gallanrrabig kɵ? cha.
137.jpg,Jeconíasbe Salatielwei mɵskain gɵben;
43.jpg,Azorbe Sadocwei mɵskain gɵben;
271.jpg,"Incha José tru piabyugurri kiagasrabe,"
292.jpg,"Kaguende ñuinukkurrimbe misagwan ashib karunrrabig kan webattrun cha,"
171.jpg,"Kan srusrɵ mu mɵɵbagucha kimíig kwanrriig kɵrrɵmisra,"
80.jpg,"Incha Josébe Marían nui nusrkawan tɵgagɵmnegatig keeba,"
239.jpg,Azorbe Sadocwei mɵskain gɵben;
158.jpg,Josébe kasharanrrab permɵwatɵ Maríabe Espíritu Santogurri kwanrriig kenamisrɵptinchibig kɵn.
281.jpg,"Inchen rey Herodesbe trendaigwan mɵrabe,"
95.jpg,"Judea birau,"
6.jpg,"Judábe Faresweimba,"
182.jpg,"Jesúsbe Judea birau Belén puebloyu kallabig kɵn,"
170.jpg,"Kerrigu ɵyeeg pureppe,"
102.jpg,Abrahambe Isaacwei mɵskain gɵben;
172.jpg,kan unɵ tɵgagɵnrrun.
128.jpg,Jotambe Acazwei mɵskain gɵben;
118.jpg,Isaíbe Davidwei mɵskain gɵbig kɵn.
107.jpg,"Zaraimba mɵskain gɵben,"
286.jpg,payibig kɵn: ¿Cristobe chu gallanrrabig kɵ? cha.
91.jpg,"Inchen reybe sacerdotesmeran karubelanba,"
282.jpg,ni mumaygucha gɵmui inchibig kɵn.
186.jpg,kɵriibala nune tabig waminchab amrruer cha.
100.jpg,"Ibe Jesucristoi merrabsrɵ misaamerai munchimera gɵn,"
71.jpg,"Kerrigu ɵyeeg pureppe,"
208.jpg,Esrombe Aramwei mɵskain gɵbig kɵn.
57.jpg,Incha tru israelitasmeran Babiloniamay srua ambub uraskurri tru Cristo kallamnegatiibe misaamera katɵgan catorce treetɵwei kurrab arrig kɵn.
0.jpg,"Ibe Jesucristoi merrabsrɵ misaamerai munchimera gɵn,"
175.jpg,(Tru Emanuel munchibe Tiusbe namba basran daig).
72.jpg,"Kan srusrɵ mu mɵɵbagucha kimíig kwanrriig kɵrrɵmisra,"
200.jpg,"tru Davidweinukkurrimba,"
223.jpg,Jorambe Uzíaswei mɵskain gɵbig kɵn.
103.jpg,Isaacbe Jacobwei mɵskain gɵben;
111.jpg,Arambe Aminadabwei mɵskain gɵben;
53.jpg,"Inchawei Abraham kɵb uraskurri merrabsrɵ kɵlli misaamerai ureemera katɵle srɵig,"
96.jpg,"ñi Belén pueblounɵbe,"
196.jpg,"tru birau purɵ wamindig ciudamerai utu ñibe chigucha gɵmɵzhig lataig kɵnrrab gɵmɵ,"
77.jpg,"Incha José tru piabyugurri kiagasrabe,"
269.jpg,trenchibig kɵn.
209.jpg,Arambe Aminadabwei mɵskain gɵben;
229.jpg,Amonbe Josíaswei mɵskain gɵbig kɵn.
26.jpg,Josafatbe Joramwei mɵskain gɵben;
123.jpg,Abíasbe Asaiwei mɵskain gɵbig kɵn.
13.jpg,Inchen Naasónbe Salmónwei mɵskaingue.
120.jpg,Uríaswei srain gɵbiibabe Salomónwɵi mɵskalɵ gɵbig kɵn.
259.jpg,"Señorwei kan ángel piabyu kenamisrabe trenchibig kɵn: José,"
99.jpg,"Kaguende ñuinukkurrimbe misagwan ashib karunrrabig kan webattrun cha,"
122.jpg,Roboambe Abíaswei mɵskain gɵben;
90.jpg,Inchen katɵ Jerusalén misaamerangucha treetɵweim bubig kɵn.
145.jpg,Inchen Eliudbe Eleazarwei mɵskain gɵben;
38.jpg,Jeconíasbe Salatielwei mɵskain gɵben;
201.jpg,Abrahambe Isaacwei mɵskain gɵben;
180.jpg,sraimba lataig nɵmui asrtɵga chi marmuig kɵn.
225.jpg,Jotambe Acazwei mɵskain gɵben;
205.jpg,"Zaraimba mɵskain gɵben,"
144.jpg,Inchen Aquimbe Eliudwei mɵskaingue.
119.jpg,"Inchen rey Davidba,"
55.jpg,"Inchen David kɵb uraskurri tru israelitasmeran Babiloniamay merrarrawa srua ambub uraskatig katɵgan catorce treetɵwei katɵle srɵig,"
242.jpg,Inchen Eliudbe Eleazarwei mɵskain gɵben;
89.jpg,ni mumaygucha gɵmui inchibig kɵn.
153.jpg,srɵig kurrab arrubig David kɵb uraskatiibe catorce gɵbig kɵn.
42.jpg,Eliaquimbe Azorwei mɵskain gɵbig kɵn.
33.jpg,Amonbe Josíaswei mɵskain gɵbig kɵn.
20.jpg,"Inchen rey Davidba,"
163.jpg,"Señorwei kan ángel piabyu kenamisrabe trenchibig kɵn: José,"
51.jpg,"tru Maríagurri Jesús kallaig kɵbig kɵn,"
190.jpg,"Inchen reybe sacerdotesmeran karubelanba,"
67.jpg,Kaguende tru unɵ tɵgagɵmibe Espíritu Santoin gɵn cha.
215.jpg,"Obedbe Isaíwei mɵskain gɵben,"
74.jpg,"Truibe Emanuel cha wamig kɵnrrun cha,"
86.jpg,"Kaguende nambe nui estrellan webarri asha,"
277.jpg,"Jesúsbe Judea birau Belén puebloyu kallabig kɵn,"
2.jpg,Abrahambe Isaacwei mɵskain gɵben;
113.jpg,Inchen Naasónbe Salmónwei mɵskaingue.
69.jpg,truigwane Jesús munchi basrtrig chibig kɵn.
127.jpg,Uzíasbe Jotamwei mɵskain gɵben;
237.jpg,Abiudbe Eliaquimwei mɵskain gɵben;
48.jpg,Matánbe Jacobwei mɵskain gɵben;
46.jpg,Inchen Eliudbe Eleazarwei mɵskain gɵben;
64.jpg,"Señorwei kan ángel piabyu kenamisrabe trenchibig kɵn: José,"
250.jpg,"Inchen David kɵb uraskurri tru israelitasmeran Babiloniamay merrarrawa srua ambub uraskatig katɵgan catorce treetɵwei katɵle srɵig,"
236.jpg,Zorobabelbe Abiudwei mɵskain gɵben;
78.jpg,"Señorwei ángel maig karuig kɵben treeg mara,"
54.jpg,srɵig kurrab arrubig David kɵb uraskatiibe catorce gɵbig kɵn.
126.jpg,Jorambe Uzíaswei mɵskain gɵbig kɵn.
105.jpg,nui nunelaimba mɵskain gɵbig kɵn.
232.jpg,tru israelitasmeran Babiloniamay merrarrawa srua ambub uras.
93.jpg,payibig kɵn: ¿Cristobe chu gallanrrabig kɵ? cha.
11.jpg,Arambe Aminadabwei mɵskain gɵben;
30.jpg,Acazbe Ezequíaswei mɵskain gɵbig kɵn.
243.jpg,Eleazarbe Matánwei mɵskain gɵben;
141.jpg,Eliaquimbe Azorwei mɵskain gɵbig kɵn.
156.jpg,Incha tru israelitasmeran Babiloniamay srua ambub uraskurri tru Cristo kallamnegatiibe misaamera katɵgan catorce treetɵwei kurrab arrig kɵn.
65.jpg,"ñi Davidwei misagugurri arrubig,"
276.jpg,Incha Josébe unane Jesús munchi basrɵbig kɵn.
179.jpg,"Incha Josébe Marían nui nusrkawan tɵgagɵmnegatig keeba,"
177.jpg,"Señorwei ángel maig karuig kɵben treeg mara,"
59.jpg,Josébe kasharanrrab permɵwatɵ Maríabe Espíritu Santogurri kwanrriig kenamisrɵptinchibig kɵn.
15.jpg,nui usrimbe Rahab gɵbig kɵn.
210.jpg,Aminadabpe Naasónwei mɵskain gɵbig kɵn.
193.jpg,Inchen nɵmbe trenchibelɵ gɵn: Judea birau Belén cha.
70.jpg,"Nɵbe ɵyeeg wamig kɵnrrun chibig kɵn,"
222.jpg,Josafatbe Joramwei mɵskain gɵben;
